Metric,Shift_Stop_Step,Mean,Std,Count
loop_mse,0,0.014700,0.017270,30
loop_mse,5,0.005147,0.006188,30
loop_mse,10,0.004631,0.004374,30
loop_mse,15,0.006520,0.006585,30
loop_mse,20,0.007967,0.012367,30
loop_lpips,0,0.221820,0.119786,30
loop_lpips,5,0.154348,0.099072,30
loop_lpips,10,0.150650,0.104328,30
loop_lpips,15,0.184798,0.118719,30
loop_lpips,20,0.177723,0.128172,30
loop_ssim,0,0.665667,0.160634,30
loop_ssim,5,0.793001,0.130455,30
loop_ssim,10,0.809998,0.128580,30
loop_ssim,15,0.772015,0.144295,30
loop_ssim,20,0.781099,0.150419,30
frame_psnr_mean,0,27.068081,5.745213,30
frame_psnr_mean,5,28.663364,8.701770,30
frame_psnr_mean,10,30.385758,8.001896,30
frame_psnr_mean,15,27.060251,5.894426,30
frame_psnr_mean,20,30.577021,8.910024,30
frame_ssim_mean,0,0.810055,0.133726,30
frame_ssim_mean,5,0.833520,0.104443,30
frame_ssim_mean,10,0.867396,0.100896,30
frame_ssim_mean,15,0.815244,0.145305,30
frame_ssim_mean,20,0.854152,0.122867,30
video_sharpness,0,1033.508972,2714.236843,30
video_sharpness,5,883.980541,2348.058059,30
video_sharpness,10,979.105621,2342.224357,30
video_sharpness,15,814.871141,1969.623442,30
video_sharpness,20,1033.360133,2010.660052,30